Item,Link,Type
Mexico,http://datos.gob.mx/,International Country
Canada,https://search.open.canada.ca/en/od/?sort=last_modified_tdt%20desc&page=1&search_text=&od-search-portal=Open%20Data&_ga=2.10238513.52197646.1601047586-517990023.1601047586,International Country
Costa Rica,,International Country
Peru,http://www.datosperu.org/,International Country
Colombia,https://www.datos.gov.co/browse?sortBy=newest&utf8=%E2%9C%93,International Country
Chile,http://datos.gob.cl/dataset,International Country
Argentina,https://datos.gob.ar/,International Country
Trinidad and Tobago,http://data.gov.tt/,International Country
Uruguay,https://www.gub.uy/agencia-gobierno-electronico-sociedad-informacion-conocimiento/datos-y-estadisticas/datos-abiertos,International Country
Brazil,http://dados.gov.br/,International Country
Sierra Leone,https://www.opendatasl.gov.sl/search/type/dataset,International Country
Morocco,https://morocco.opendataforafrica.org/data/#menu=topic,International Country
Portugal,http://www.dados.gov.pt/pt/inicio/inicio.aspx,International Country
Ireland,https://data.gov.ie/,International Country
Spain,https://datos.gob.es/es/catalogo,International Country
France,https://www.data.gouv.fr/fr/dashboard/,International Country
United Kingdom,http://data.gov.uk/,International Country
Ghana,https://ghana.opendataforafrica.org/,International Country
Belgium,https://data.gov.be/en/search/datasets,International Country
Netherlands,http://data.overheid.nl/,International Country
Tunisia,https://oecd-opsi.org/innovations/national-open-data-portal-of-tunisia/,International Country
Denmark,https://www.opendata.dk/search,International Country
Germany,https://www.govdata.de/web/guest/daten,International Country
Italy,https://www.dati.gov.it/view-dataset,International Country
Austria,http://data.gv.at/,International Country
Norway,https://data.norge.no/datasets,International Country
Sweden,https://www.dataportal.se/en/datasets?p=1&q=&s=2&t=20&f=,International Country
Slovakia,https://data.gov.sk/dataset,International Country
Greece,http://geodata.gov.gr/group,International Country
Romania,http://data.gov.ro/,International Country
South Africa,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/central,International Country
Estonia,http://pub.stat.ee/px-web.2001/Dialog/statfile1.asp,International Country
Finland,https://www.avoindata.fi/en,International Country
Moldova,http://data.gov.md/,International Country
Ukraine,https://data.gov.ua/dataset,International Country
Tanzania,https://tanzania.opendataforafrica.org/,International Country
Kenya,https://www.opendata.go.ke/,International Country
Saudi Arabia,http://www.data.gov.sa/,International Country
Bahrain,http://www.bahrain.bh/wps/portal/data/,International Country
United Arab Emirates,http://opendata.nbs.gov.ae/,International Country
Oman,http://www.oman.om/opendata,International Country
India,http://data.gov.in/,International Country
Russia,http://opengovdata.ru/,International Country
Singapore,http://data.gov.sg/,International Country
China,http://www.stats.gov.cn/english/,International Country
Hong Kong,http://www.gov.hk/en/theme/psi/datasets/,International Country
Indonesia,https://data.go.id/,International Country
Philippines,http://data.gov.ph/,International Country
Timor-Leste,http://www.transparency.gov.tl/,International Country
Dem. Rep. Korea,http://www.data.go.kr/,International Country
Australia,http://data.gov.au/,International Country
Japan,https://www.data.go.jp/,International Country
New Zealand,http://www.data.govt.nz/,International Country
British Columbia,http://www.data.gov.bc.ca/,International Regional
Nanaimo,http://www.nanaimo.ca/datafeeds,International Regional
Saanich,http://www.saanich.ca/data/catalogue/index.php,International Regional
British Columbia Local Government,http://www.civicinfo.bc.ca/,International Regional
Vancouver,http://data.vancouver.ca/,International Regional
District of North Vancouver,http://geoweb.dnv.org/data/,International Regional
Prince George,http://princegeorge.ca/cityservices/online/odc/Pages/Documents.aspx,International Regional
County of Grand Prairie (CA),http://www.countygp.ab.ca/EN/main/community/maps-gis/open-data/data.html,International Regional
North Okanagan,http://www.rdno.ca/index.php/maps/digital-data,International Regional
Alberta,http://data.alberta.ca/,International Regional
Red Deer,http://www.reddeer.ca/City+Government/City+Services+and+Departments/Information+Technology+Services/Open+Data/About.htm,International Regional
Edmonton,http://data.edmonton.ca/,International Regional
Medicine Hat,http://data.medicinehat.ca/,International Regional
Saskatoon,http://www.saskatoon.ca/DEPARTMENTS/Corporate%20Services/Corporate%20Information%20Services/OpenData/Pages/OpenData.aspx,International Regional
Regina,http://openregina.cloudapp.net/,International Regional
Sutton,https://www.sutton.gov.uk/index.aspx?articleid=15338,International Regional
Waterloo,http://opendata.waterloo.ca/,International Regional
Ontario,http://www.ontario.ca/government/government-ontario-open-data,International Regional
Guelph,http://guelph.ca/services.cfm?itemid=78870&smocid=1550,International Regional
Hamilton,http://www.hamilton.ca/ProjectsInitiatives/OpenData/,International Regional
Region of Peel,http://opendata.peelregion.ca/,International Regional
Mississauga,http://www.mississauga.ca/portal/residents/publicationsopendatacatalogue,International Regional
Toronto,http://www.toronto.ca/open,International Regional
Niagara Region,http://www.niagararegion.ca/government/opendata/default.aspx,International Regional
Niagara Falls,http://www.niagarafalls.ca/services/open/data,International Regional
Lima,http://www.munlima.gob.pe/datos-abiertos-mml.html,International Regional
Ottawa,http://www.guardian.co.uk/world-government-data/search?facet_source_title=ottawa.ca,International Regional
Montreal,http://donnees.ville.montreal.qc.ca/,International Regional
Quebec (Province),http://data.gouv.qc.ca/?node=/accueil,International Regional
Quebec (City),http://donnees.ville.quebec.qc.ca/,International Regional
Fredericton,http://www.fredericton.ca/en/citygovernment/DataMain.asp,International Regional
Halifax,https://www.halifaxopendata.ca/,International Regional
"Misiones Province, Argentina",http://www.datos.misiones.gov.ar/,International Regional
Buenos Aires,http://data.buenosaires.gob.ar/,International Regional
Montevideo,http://www.montevideo.gub.uy/institucional/datos-abiertos/introduccion,International Regional
Novo Hamburgo,https://dados.novohamburgo.rs.gov.br//,International Regional
Sao Paulo,http://www.governoaberto.sp.gov.br/view/,International Regional
Dailan,http://zwgk.dl.gov.cn/default.jse,International Regional
Brazilian Federal Senate,http://dadosabertos.senado.gov.br/,International Regional
Galicia,http://abertos.xunta.es/portada/,International Regional
Italian Parliament,http://dati.camera.it/it/,International Regional
Fingal,http://data.fingal.ie/,International Regional
Asturias,http://risp.asturias.es/catalogo/index.html,International Regional
Junta de Castilla y LeÜn,http://www.datosabiertos.jcyl.es/,International Regional
North Devon Council,http://www.northdevon.gov.uk/index/lgcl_council_government_and_democracy/nonlgcl_open_data.htm,International Regional
Allerdale,http://datacatalogs.org/catalog/allerdale,International Regional
Great Manchester,http://www.datagm.org.uk/,International Regional
Wyre Council,http://www.wyre.gov.uk/opendata,International Regional
Castilla-La Mancha,http://opendata.jccm.es/,International Regional
Trafford Council,http://www.trafford.gov.uk/opendata/,International Regional
Salford City Council,http://www.salford.gov.uk/opendata.htm,International Regional
Manchester,http://www.manchester.gov.uk/info/500215/open_data,International Regional
Euskadi (Basque Country),http://opendata.euskadi.net/,International Regional
Birmingham,http://www.birmingham.gov.uk/open-data,International Regional
Loire-Atlantique,http://data.loire-atlantique.fr/,International Regional
Navarre,http://www.navarra.es/home_es/Open-Data/,International Regional
Lichfield,http://lichfielddc.gov.uk/,International Regional
Rennes,http://www.data.rennes-metropole.fr/,International Regional
Pamplona,http://pamplona.es/verPagina.asp?IdPag=1519&Idioma=1,International Regional
Nantes,http://data.nantes.fr/,International Regional
Warwickshire,http://www.guardian.co.uk/world-government-data/search?facet_source_title=opendata.warwickshire.gov.uk,International Regional
La Rochelle,http://www.opendata.larochelle.fr/,International Regional
Zaragoza,http://www.zaragoza.es/ciudad/risp/,International Regional
Aragon,http://opendata.aragon.es/,International Regional
Aquitaine and Gironde,http://datalocale.fr/,International Regional
Windsor,http://www.citywindsor.ca/opendata/pages/open-data-catalogue.aspx,International Regional
Angers,http://data.angers.fr/,International Regional
Surrey,http://www.surrey.ca/city-services/658.aspx,International Regional
London,http://www.london.ca/d.aspx?s=/Open_Data/Data_Catalogue.htm,International Regional
London,http://www.guardian.co.uk/world-government-data/search?facet_source_title=data.london.gov.uk,International Regional
Redbridge,http://data.redbridge.gov.uk/,International Regional
Le Mans,http://www.lemans.fr/page.do?t=2&uuid=16CB26C7-550EA533-5AE8381B-D7A64AF8,International Regional
Open Kent,http://www.openkent.org.uk/,International Regional
Lleida,http://cartolleida.paeria.es/lleidaoberta/inici.aspx,International Regional
Kent,http://www.kent.gov.uk/your_council/open_data.aspx,International Regional
Toulouse,http://data.grandtoulouse.fr/,International Regional
Terrassa,http://opendata.terrassa.cat/,International Regional
Barcelona,http://w20.bcn.cat/opendata/,International Regional
Hauts-de-Seine,http://opendata.hauts-de-seine.net/,International Regional
Badalona,http://badalona.cat/portalWeb/badalona.portal?_nfpb=true&_pageLabel=opendata,International Regional
Organization for Economic Cooperation and Development (OECD),http://stats.oecd.org/,International Regional
Paris,http://opendata.paris.fr/opendata/jsp/site/Portal.jsp,International Regional
Balearic Islands,http://www.caib.es/caibdatafront/,International Regional
Montpellier,http://opendata.montpelliernumerique.fr/,International Regional
Antwerp,http://opendata.antwerpen.be/,International Regional
Rotterdam,http://rotterdamopendata.nl,International Regional
SaŽne-et-Loire,http://www.opendata71.fr/,International Regional
Alkmaar,http://www.alkmaar.nl/opendata,International Regional
Amsterdam,http://www.os.amsterdam.nl/,International Regional
Amsterdam,http://maps.amsterdam.nl/open_geodata/,International Regional
Langley,http://www.tol.ca/Services-Contact/Open-Data/Open-Data-Catalogue,International Regional
Moers,http://www.offenedaten.moers.de/,International Regional
Enschede,http://opendata.enschede.nl/,International Regional
Rheinland Pfalz,http://www.daten.rlp.de/,International Regional
Turin,http://www.comune.torino.it/aperto,International Regional
Piedmont,http://www.dati.piemonte.it/,International Regional
Zurich,http://data.stadt-zuerich.ch/content/portal/de/index/ogd/daten.html,International Regional
Bremen,http://www.daten.bremen.de/,International Regional
Sardinia,http://www.sardegnageoportale.it/index.html,International Regional
Milan,http://dati.comune.milano.it/,International Regional
Lombardy,https://dati.lombardia.it/,International Regional
Vorarlberg,http://data.vorarlberg.gv.at/,International Regional
Hamburg,http://daten.hamburg.de/,International Regional
Aarhus,http://www.odaa.dk/,International Regional
Lucca,http://opendata.provincia.lucca.it/,International Regional
Trento,http://www.territorio.provincia.tn.it/portal/server.pt?open=512&objID=862&PageID=32157&mode=2&in_hi_userid=18720&cached=true,International Regional
Trentino,http://dati.trentino.it/,International Regional
Tuscany,http://dati.toscana.it/,International Regional
Florence,http://dati.comune.firenze.it/,International Regional
Bologna,http://dati.comune.bologna.it/,International Regional
Emilia-Romagna Open Data,http://dati.emilia-romagna.it/,International Regional
Tyrol,http://www.tirol.gv.at/applikationen/e-government/data/,International Regional
Vicenza Geodata,http://www.comune.vicenza.it/uffici/dipgenpers/sistinf/sit/daticartografici.php,International Regional
Veneto,http://dati.veneto.it/,International Regional
Rostock,http://datacatalogs.org/catalog/rostock,International Regional
Venice,http://dati.venezia.it/,International Regional
Leipzig,http://www.apileipzig.de/,International Regional
Italy Senate,http://dati.senato.it/,International Regional
Chamber of Deputies,http://dati.camera.it/it/,International Regional
Rome,http://www.opendata.provincia.roma.it/,International Regional
Udine,http://www.comune.udine.it/opencms/opencms/release/ComuneUdine/comune/Bilanci_comunali/open_data,International Regional
Berlin,http://daten.berlin.de/,International Regional
Linz,http://data.linz.gv.at/,International Regional
OpenAid.se,http://openaid.se/,International Regional
Graz,http://data.graz.gv.at/,International Regional
Niederosterreich,http://www.noe.gv.at/noe/Open-Government-Data/Open-Government-Data.html,International Regional
Vienna,http://data.wien.gv.at/,International Regional
Puglia,http://www.dati.puglia.it/,International Regional
Bari,http://opendata.comune.bari.it/,International Regional
Stockholm,http://open.stockholm.se/,International Regional
InGrid (Germany),https://www.ingrid-oss.eu/latest/,International Regional
European Union,http://open-data.europa.eu/,International Regional
Tampere,http://tampere.fi/avoindata,International Regional
Helsinki,http://www.hri.fi/en/about/open-data/,International Regional
Jyv_skyl_,http://data.jyvaskyla.fi/,International Regional
Library of the National Congress,http://datos.bcn.cl/es/,International Regional
Ministry of Finances,http://www1.minfin.ru/ru/,International Regional
Open UN-Habitat Transparency Initiative,http://open.unhabitat.org/,International Regional
Russian Open Budget,http://budget.gov.ru/data/opendata,International Regional
Russian Open Police,http://data.openpolice.ru/,International Regional
Moscow,http://data.mos.ru/,International Regional
Catalonya,http://dadesobertes.gencat.cat/,International Regional
Victoria,http://www.data.vic.gov.au/,International Regional
Open Government (Russia),http://opendata.bigovernment.ru/results/,International Regional
World Bank,http://data.worldbank.org/,International Regional
United Nations,http://data.un.org/,International Regional
Western Australia NewSLIP,https://www2.landgate.wa.gov.au/web/guest/slipstream-e-news,International Regional
Seoul,http://data.seoul.go.kr/,International Regional
South Australia,http://data.sa.gov.au,International Regional
South Australia Spatial Planning,http://www.planning.sa.gov.au/index.cfm?objectid=1C5C4F6F-96B8-CC2B-67DE3073BF2AE0EC,International Regional
Shizuoka Prefecture(Shizuoka),http://open-data.pref.shizuoka.jp/htdocs/,International Regional
METI,http://datameti.go.jp/,International Regional
Queensland,https://data.qld.gov.au/,International Regional
Tasmania Spatial Data Work,http://www.dpipwe.tas.gov.au/sif,International Regional
Merton Council,http://www.merton.gov.uk/council/dp-foi/opendata.htm,International Regional
New South Wales,http://data.nsw.gov.au/,International Regional
Australian Capital Territory,https://www.data.act.gov.au/,International Regional
Australian National Data Service,http://researchdata.ands.org.au/,International Regional
Mosman Council,http://data.mosman.nsw.gov.au/,International Regional
CSIRO,https://data.csiro.au/dap/home?execution=e1s1,International Regional
Brisbane,http://data.brisbane.qld.gov.au/index.php/datasets/,International Regional
Baden-W»rttemberg,http://opendata.service-bw.de/Seiten/default.aspx,International Regional
Baha Blanca,http://bahiablanca.opendata.junar.com/home/,International Regional
Hawaii GIS,http://gis.hicentral.com/,Other State Related
Denver Regional Council,http://data.opencolorado.org/group/drcog,Other State Related
Texas Transparency,http://www.texastransparency.org/opendata/index.php,Other State Related
Missouri Accountability Portal,http://mapyourtaxes.mo.gov/MAP/Portal/Default.aspx,Other State Related
Illinois South Suburban Mayors and Managers,https://data.illinois.gov/ssmma,Other State Related
NY State Senate,http://www.nysenate.gov/opendata/,Other State Related
NY Department of Health,https://health.data.ny.gov/,Other State Related
New York State Data Center,http://esd.ny.gov/NYSDataCenter.html,Other State Related
Honolulu,https://data.honolulu.gov/,US City or County
Portland,http://civicapps.org/datasets/,US City or County
San Francisco,http://www.datasf.org/,US City or County
San Mateo County,https://data.smcgov.org/,US City or County
Seattle,http://data.seattle.gov/,US City or County
Palo Alto,http://data.cityofpaloalto.org/,US City or County
Los Angeles,https://controllerdata.lacity.org/browse,US City or County
Las Vegas,https://opendata.lasvegasnevada.gov/,US City or County
Scottsdale,http://data.scottsdaleaz.gov/,US City or County
Albuquerque,http://www.cabq.gov/abq-data/,US City or County
Gilpin County,http://data.opencolorado.org/group/gilpin-county,US City or County
Arvada,http://arvada.org/opendata/,US City or County
Denver,http://data.denvergov.org/,US City or County
King County,http://www.datakc.org/,US City or County
Weatherford,http://tx-weatherford2.civicplus.com/index.aspx?NID=1448,US City or County
Austin,http://data.austintexas.gov/,US City or County
Montgomery County,https://data.montgomerycountymd.gov/,US City or County
Houston,http://data.codeforhouston.com/,US City or County
Kansas City,https://data.kcmo.org/,US City or County
New Orleans,http://data.nola.gov/,US City or County
Madison,https://data.cityofmadison.com/,US City or County
Rockford,https://data.illinois.gov/rockford,US City or County
Champaign,https://data.illinois.gov/champaign,US City or County
Cook County (IL),http://data.cookcountyil.gov/,US City or County
Chicago,http://data.cityofchicago.org/,US City or County
"Bloomington, Indiana",https://data.bloomington.in.gov/,US City or County
South Bend,https://data.southbendin.gov/,US City or County
Indianapolis/Marion County,http://data.indy.gov/,US City or County
Louisville,http://portal.louisvilleky.gov/service/data,US City or County
Lexington,http://www.lexingtonky.gov/index.aspx?page=416,US City or County
Atlanta,http://gis.atlantaga.gov/,US City or County
Ann Arbor,http://www.a2gov.org/data/,US City or County
Open Door Kentucky,http://opendoor.ky.gov/transparency/Pages/default.aspx,US City or County
Asheville,http://data.ashevillenc.gov/,US City or County
Wellington (FL),https://data.wellingtonfl.gov/,US City or County
Raleigh,http://www.raleighnc.gov/open/,US City or County
Wake County,http://www.wakegov.com/data/Pages/default.aspx,US City or County
Baltimore,http://data.baltimorecity.gov/,US City or County
Philadelphia,http://www.opendataphilly.org/,US City or County
New York City,http://www.nyc.gov/data/,US City or County
Burlington,https://data.burlingtonvt.gov/,US City or County
Providence,https://data.providenceri.gov/,US City or County
Somerville,http://data.somervillema.gov/,US City or County
Boston,https://data.cityofboston.gov/,US City or County
Boston Enterprise GIS,http://www.cityofboston.gov/maps/,US City or County
Belleville,https://data.illinois.gov/belleville,US City or County
Santa Cruz,http://data.cityofsantacruz.com/,US City or County
NC OpenBook,http://www.ncopenbook.gov/NCOpenBook/,US City or County
Hawaii,http://data.hawaii.gov/,US State
Oregon,http://data.oregon.gov/,US State
California,http://data.ca.gov/,US State
Arizona,http://openbooks.az.gov/app/transparency/index.html,US State
Utah,http://www.utah.gov/data/,US State
Montana,https://data.datamontana.us/browse,US State
New Mexico,http://www.sunshineportalnm.com/,US State
Colorado,http://www.colorado.gov/data/,US State
South Dakota,http://open.sd.gov/,US State
Nebraska,http://www.nebraska.gov/data/,US State
Texas,http://www.texas.gov/en/Connect/Pages/open-data.aspx,US State
Kansas,http://www.kansas.gov/KanView/,US State
Oklahoma,http://www.ok.gov/about/data.html,US State
Minnesota,http://mn.gov/portal/,US State
Iowa,http://data.iowa.gov/,US State
Missouri,http://data.mo.gov/,US State
Louisiana,http://wwwprd.doa.louisiana.gov/LaTrac/portal.cfm,US State
Illinois,http://data.illinois.gov/,US State
Alabama,http://open.alabama.gov/,US State
Tennessee,http://www.tn.gov/opengov/,US State
Indiana,http://www.stats.indiana.edu/,US State
Kentucky,http://opendoor.ky.gov/search/Pages/spendingsearch.aspx,US State
Michigan,https://data.michigan.gov/,US State
Michigan,https://gis-michigan.opendata.arcgis.com/,US State
Georgia,http://www.open.georgia.gov/,US State
Ohio,http://transparency.ohio.gov/,US State
Florida,https://www.nconemap.gov/,US State
North Carolina,https://www.nconemap.gov/,US State
Virginia,http://data.virginia.gov,US State
Washington,http://data.wa.gov/,US State
District of Columbia,http://data.dc.gov/,US State
Maryland,https://opendata.maryland.gov/,US State
Delaware,https://data.delaware.gov/,US State
New York,https://data.ny.gov/,US State
Connecticut,https://data.ct.gov/,US State
Vermont,http://www.data.gov/open-gov/,US State
Massachusetts,https://wiki.state.ma.us/confluence/display/data/Open+Data+Initiative+Home,US State
New Hampshire,,US State
Rhode Island,http://www.ri.gov/data/,US State
Maine,https://www.maine.gov/cgi-bin/data/data_search.pl,US State
Maine,https://www.maine.gov/geolib/catalog.html#top,US State
North Dakota GIS Hub,http://www.nd.gov/gis/,US State
